Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
Sumbawa Barat,0,1.924,0.014,0.096,0.009,0.029,0
Lombok Utara,0,1.941,0.016,0.129,0.002,0.019,0.001
Kota Mataram,0,1.639,0.002,0.083,0.003,0.029,0.001
Kota Bima,0,1.783,0.002,0.082,0.001,0.013,0.001
Sumba Barat,0,1.923,-,0.015,0.237,0.003,-
Sumba Timur,0,2.239,0.001,0.064,0.302,0.008,-
Kupang,0,2.029,0.001,0.098,0.187,0.031,-
Timor Tengah Selatan,0,1.527,0,0.241,0.425,0.054,0
Timor Tengah Utara,0,2.023,0.001,0.119,0.273,0.012,-
Belu,0,1.785,0.004,0.092,0.298,0.011,0.006
Alor,0,1.661,0,0.065,0.202,0.046,0.001
Lembata,0,1.636,0.009,0.041,0.254,0.046,0.021
Flores Timur,0,2.154,0.001,0.083,0.155,0.058,0.007
Sikka,0,1.917,0.011,0.041,0.077,0.012,0.015
Ende,0,2.192,0.002,0.114,0.053,0.03,0.001
Ngada,0,2.007,0.002,0.069,0.202,0.019,0.001
Manggarai,0,2.432,0.004,0.016,0.102,0.019,0.002
Rote Ndao,0,2.16,-,0.019,0.008,0.01,-
Manggarai Barat,0,2.368,0.005,0.034,0.022,0.021,0.004
Sumba Tengah,0,1.9,-,0.047,0.407,0.007,-
Sumba Barat Daya,0,1.958,0,0.056,0.529,0.009,0.001
Nagekeo,0,1.848,0.003,0.043,0.167,0.012,0.006
Manggarai Timur,0,2.563,0,0.068,0.147,0.023,0.001
Sabu Raijua,0,2.521,0.004,0.143,0.025,0.007,0.005
Malaka,0,2.193,0.013,0.23,0.264,0.01,0.003
Kota Kupang,0,1.775,0,0.071,0.042,0.038,0.002
Sambas,0,1.466,0.007,0.012,0.006,0.038,0.001
Bengkayang,0,1.832,0.005,0.018,0.001,0.026,-
Landak,0,1.927,0.021,0.022,0.005,0.021,0
Mempawah,0,1.53,0.004,0.014,0.005,0.027,0.001
Sanggau,0,1.657,0.01,0.008,0.003,0.022,0
Ketapang,0,1.546,0.008,0.005,0.001,0.017,0
Sintang,0,1.856,0.012,0.007,-,0.025,-
Kapuas Hulu,0,1.763,0.004,0.02,0.006,0.046,-
Sekadau,0,1.869,0.007,0.002,-,0.036,-
Melawi,0,1.705,0.007,0.017,-,0.034,-
Kayong Utara,0,1.65,0.018,0.014,0.001,0.042,-
Kubu Raya,0,1.502,0.002,0.017,0.018,0.035,0
Kota Pontianak,0,1.196,0.003,0.044,0.008,0.04,0.002
Kota Singkawang,0,1.36,0.001,0.03,0,0.039,0.002
Kotawaringin Barat,0,1.676,0.006,0.023,0.003,0.073,0.002
Kotawaringin Timur,0,1.594,0.009,0.02,0.001,0.053,0.003
Kapuas,0,1.83,0.001,0.01,0,0.061,-
Barito Selatan,0,1.758,0.002,0.02,0.001,0.091,-
Barito Utara,0,1.511,0.017,0.032,0.007,0.039,-
Sukamara,0,1.483,0.017,0.011,0.002,0.052,0
Lamandau,0,1.549,0.005,0.022,0.009,0.058,0.001
Seruyan,0,1.694,0.008,0.018,0.001,0.05,-
Katingan,0,1.677,0.014,0.008,0,0.039,0.001
Pulang Pisau,0,1.757,0.004,0.009,0,0.08,-
Gunung Mas,0,1.556,0.003,0.022,0.005,0.02,0.001
Barito Timur,0,1.909,0.006,0.021,0.001,0.067,-
Murung Raya,0,1.679,0.009,0.018,0.001,0.023,0.001
Kota Palangka Raya,0,1.293,0.002,0.042,0.004,0.061,0.002
Tanah Laut,0,1.579,0.003,0.022,0.001,0.073,0.001
Kota Baru,0,1.538,0.005,0.019,0.001,0.063,0.002
Banjar,0,1.627,0.007,0.065,0.003,0.069,0.003
Barito Kuala,0,1.718,0.002,0.04,0.001,0.055,0.002
