Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
Kolaka,0,1.712,0.006,0.039,0.002,0.078,0.003
Konawe Selatan,0,1.736,0.002,0.072,0.006,0.063,0.006
Bombana,0,1.965,0.002,0.138,0.007,0.071,0.002
Wakatobi,0,1.995,0.002,0.129,0.031,0.036,-
Kolaka Utara,0,1.739,0.009,0.104,0.002,0.07,0.003
Buton Utara,0,1.979,0.012,0.103,0.008,0.032,0
Konawe Utara,0,1.648,0.002,0.082,0.008,0.063,0
Kolaka Timur,0,1.85,0.009,0.038,0.005,0.084,0.005
Konawe Kepulauan,0,1.863,0,0.025,0.001,0.05,0
Muna Barat,0,1.889,0.002,0.109,0.121,0.037,-
Buton Tengah,0,1.703,0,0.071,0.058,0.012,-
Buton Selatan,0,1.65,0.001,0.149,0.07,0.03,0.004
Kota Kendari,0,1.578,0.002,0.047,0.002,0.049,0.001
Kota Baubau,0,1.584,0.006,0.095,0.02,0.024,0.004
Boalemo,0,1.818,0.002,0.125,0.108,0.048,-
Gorontalo,0,1.766,0,0.093,0.08,0.026,-
Pohuwato,0,1.803,0.001,0.064,0.035,0.012,-
Bone Bolango,0,1.657,-,0.058,0.047,0.02,-
Gorontalo Utara,0,1.75,0.001,0.17,0.017,0.01,-
Kota Gorontalo,0,1.715,0.001,0.057,0.027,0.016,-
Majene,0,1.836,0.005,0.117,0.002,0.134,0.002
Polewali Mandar,0,2.192,0.009,0.036,0.005,0.086,0
Mamasa,0,2.083,0.009,0.024,0.01,0.027,0
Mamuju,0,1.949,0.008,0.047,0.004,0.072,0.001
Mamuju Utara,0,1.767,0.006,0.095,0.01,0.08,0.001
Mamuju Tengah,0,1.757,0.007,0.063,0.006,0.103,0
Maluku Tenggara Barat,0,1.67,0.001,0.245,0.027,0.025,0.008
Maluku Tenggara,0,1.783,0.005,0.216,0.019,0.027,0
Maluku Tengah,0,1.523,0.001,0.008,0.002,0.042,-
Buru,0,1.69,0.001,0.027,0.001,0.036,0
Kepulauan Aru,0,1.333,0.001,0.025,0.007,0.011,-
Seram Bagian Barat,0,1.279,0.002,0.019,0.001,0.034,0.001
Seram Bagian Timur,0,1.246,0.002,0.011,0,0.067,-
Maluku Barat Daya,0,1.912,0.004,0.049,0.368,0.028,0
Buru Selatan,0,1.45,0.004,0,0.001,0.031,0
Kota Ambon,0,1.615,0.003,0.028,0,0.033,0.002
Kota Tual,0,1.811,0.014,0.281,0.007,0.113,0.001
Halmahera Barat,0,1.635,0.001,0.013,0.001,0.026,-
Halmahera Tengah,0,1.5,0.002,0.031,0.002,0.039,-
Kepulauan Sula,0,1.726,0.001,0.024,0.006,0.027,0.003
Halmahera Selatan,0,1.603,0.012,0.042,0.001,0.029,0
Halmahera Utara,0,1.462,0,0.023,0,0.05,-
Halmahera Timur,0,1.257,0,0.032,0.003,0.049,0
Pulau Morotai,0,1.521,0.034,0.03,0.002,0.076,-
Pulau Taliabu,0,1.58,-,0.006,-,0.017,-
Kota Ternate,0,1.48,-,0.009,0,0.016,-
Kota Tidore Kepulauan,0,1.379,0.001,0.042,0.009,0.036,0
Fakfak,0,1.495,0.002,0.009,-,0.045,-
Kaimana,0,1.451,0.004,0.021,0,0.054,-
Teluk Wondama,0,1.157,0,0.011,0.002,0.034,0
Teluk Bintuni,0,1.323,0.005,0.018,0,0.039,0
Manokwari,0,1.497,0.004,0.012,0.003,0.064,0
Manokwari Selatan,0,1.562,-,0.032,0.001,0.015,0.001
Pegunungan Arfak,0,1.227,0,0.061,0,0.003,-
Raja Ampat,0,1.467,0,0.016,0.001,0.124,-
Sorong,0,1.427,0.002,0.027,0.002,0.059,0.002
Sorong Selatan,0,0.723,0.008,0.004,-,0.012,-
Maybrat,0,1.161,0.001,0.021,0.001,0.034,-
Tambrauw,0,1.254,0.001,0.014,-,0.015,-
Kota Sorong,0,1.505,0.003,0.03,0.001,0.046,0.001
Jayapura,0,1.186,0.001,0.02,0.002,0.036,0.001
Kepulauan Yapen,0,1.333,0.002,0.031,-,0.054,-
Biak Numfor,0,1.456,-,0.006,-,0.028,-
Sarmi,0,1.472,-,0.011,-,0.01,-
Keerom,0,1.44,0.004,0.066,0.002,0.059,-
Waropen,0,1.288,0,0.003,0,0.019,-
Supiori,0,1.504,-,0.008,-,0.046,-
Mamberamo Raya,0,1.031,-,-,-,-,-
Kota Jayapura,0,1.218,-,0.013,0.001,0.025,-
Merauke,0,1.033,0.001,0.007,0.001,0.011,0.003
Boven Digoel,0,1.515,0.001,0.076,0.005,0.047,0.003
Mappi,0,1.002,0.001,0.004,0.001,0.013,-
Asmat,0,0.882,0.001,-,-,0.007,-
Mimika,0,1.281,0,0.026,0.001,0.029,0
Dogiyai,0,0.997,-,0.089,0,0.003,-
Deiyai,0,0.896,-,0.002,0.001,0.027,-
Nabire,0,1.463,0.001,0.041,0.001,0.065,0
Paniai,0,0.893,-,0.008,0,0.054,-
Intan Jaya,0,0.922,-,0.011,0.001,0.006,-
Puncak,0,0.187,-,-,-,-,-
Puncak Jaya,0,1.202,-,0.008,-,0.001,-
Nduga,0,0.407,0,0.083,0.001,-,-
Jayawijaya,0,1.213,0.001,0.048,0,0.007,-
Lanny Jaya,0,1.688,-,0.375,-,0.001,-
Tolikara,0,1.138,-,0.161,-,-,-
Mamberamo Tengah,0,0.44,0.001,0.265,0.001,-,-
Yalimo,0,1.122,0,0.089,0,-,-
Yahukimo,0,0.447,-,0.025,-,-,-
Pegunungan Bintang,0,0.55,-,0.002,-,-,-
