Kabupaten/Kota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Tahun
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,,2022
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya,2022
Ciamis,0,1.883,0.015,0.019,0.001,0.128,0,2022
Kuningan,0,1.411,0.003,0.021,0.001,0.073,0.001,2022
Cirebon,0,1.418,0.004,0.011,0.001,0.033,0.003,2022
Majalengka,0,1.523,0.003,0.01,0.001,0.047,-,2022
Sumedang,0,1.679,0.013,0.023,0.002,0.071,0.001,2022
Indramayu,0,1.572,0.005,0.009,0.002,0.021,0,2022
Subang,0,1.775,0.003,0.004,0.001,0.035,-,2022
Purwakarta,0,1.742,0.008,0.006,0.001,0.043,0.001,2022
Karawang,0,1.82,0.005,0.004,-,0.025,0.001,2022
Bekasi,0,1.557,0.001,0.018,0.001,0.05,0.003,2022
Bandung Barat,0,1.632,0.007,0.019,0.015,0.067,0.001,2022
Pangandaran,0,1.874,0.014,0.02,0.002,0.116,0.003,2022
Kota Bogor,0,1.523,0.001,0.02,0.002,0.061,0.002,2022
Kota Sukabumi,0,1.546,0.007,0.023,0.002,0.042,-,2022
Kota Bandung,0,1.246,0.01,0.013,0.004,0.056,0.001,2022
Kota Cirebon,0,1.269,0.001,0.011,0,0.048,0,2022
Kota Bekasi,0,1.272,0.004,0.025,0.004,0.08,0.001,2022
Kota Depok,0,1.342,0.004,0.036,0.003,0.073,0.001,2022
Kota Cimahi,0,1.268,0.003,0.013,0.004,0.054,0.001,2022
Kota Tasikmalaya,0,1.641,0.006,0.01,0.001,0.064,0,2022
Kota Banjar,0,1.738,0.005,0.015,0.004,0.092,0,2022
Cilacap,0,1.628,0.001,0.01,0.001,0.065,0,2022
Banyumas,0,1.36,0.002,0.026,0.001,0.076,0.007,2022
Purbalingga,0,1.269,0.002,0.014,0.009,0.074,0.013,2022
Banjarnegara,0,1.226,0.004,0.015,0.025,0.094,0.001,2022
Kebumen,0,1.383,0.002,0.008,0.001,0.083,0,2022
Purworejo,0,1.269,0.005,0.012,0,0.077,0.001,2022
Wonosobo,0,1.238,0.018,0.019,0.054,0.074,0.012,2022
Magelang,0,1.235,0.004,0.006,0.012,0.079,0,2022
Boyolali,0,1.139,0.001,0.014,0.001,0.08,0.001,2022
Klaten,0,1.255,0.003,0.006,0.001,0.063,0,2022
Sukoharjo,0,1.28,0.002,0.012,0.001,0.056,0.003,2022
Wonogiri,0,1.474,0.012,0.006,0.006,0.066,0.004,2022
Karanganyar,0,1.269,0.003,0.006,0.002,0.074,0.001,2022
Sragen,0,1.401,0.005,0.005,0.001,0.066,0.001,2022
Grobogan,0,1.503,0.008,0.026,0.005,0.084,0.002,2022
Blora,0,1.443,0.003,0.051,0.014,0.04,0.005,2022
Rembang,0,1.498,0.02,0.016,0.015,0.041,0.002,2022
Pati,0,1.429,0.001,0.018,0.001,0.061,0.007,2022
Kudus,0,1.255,0.007,0.014,0,0.042,0.002,2022
Jepara,0,1.45,0.003,0.013,0.001,0.04,0.001,2022
Demak,0,1.536,0.003,0.019,0.001,0.035,0.001,2022
Semarang,0,1.302,0.01,0.012,0.001,0.076,0.001,2022
Temanggung,0,1.281,0.01,0.004,0.023,0.045,0.002,2022
Kendal,0,1.382,0.001,0.015,0.018,0.037,0,2022
Batang,0,1.379,0.004,0.01,0.003,0.053,0.002,2022
Pekalongan,0,1.322,0.006,0.004,0.004,0.054,0.007,2022
