Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
Subang,0,1.808,0.009,0.005,0.001,0.024,0
Purwakarta,0,1.781,0.011,0.02,0.001,0.074,0.001
Karawang,0,1.807,0.002,0.018,0.001,0.027,-
Bekasi,0,1.486,0.001,0.014,0.002,0.039,0
Bandung Barat,0,1.572,0.006,0.024,0.002,0.077,0.001
Pangandaran,0,1.921,0.013,0.016,0.001,0.12,-
Kota Bogor,0,1.406,0.001,0.026,0.003,0.065,0.001
Kota Sukabumi,0,1.496,0.005,0.026,0.004,0.047,0.004
Kota Bandung,0,1.302,0.007,0.016,0.003,0.058,0
Kota Cirebon,0,1.311,0.003,0.011,0.001,0.042,-
Kota Bekasi,0,1.321,0.002,0.024,0.001,0.065,0.001
Kota Depok,0,1.309,0.001,0.028,0.001,0.075,0.002
Kota Cimahi,0,1.238,0.003,0.008,0.007,0.074,0.003
Kota Tasikmalaya,0,1.811,0.002,0.001,0.001,0.084,0.005
Kota Banjar,0,1.729,0.002,0.012,0.001,0.096,0.001
Cilacap,0,1.576,0.005,0.014,0.002,0.084,0
Banyumas,0,1.406,0.004,0.039,0.003,0.082,0.005
Purbalingga,0,1.309,0.001,0.012,0.013,0.086,0.007
Banjarnegara,0,1.294,0.006,0.009,0.061,0.098,0.005
Kebumen,0,1.382,0.003,0.019,0.002,0.087,0.004
Purworejo,0,1.322,0.004,0.014,0,0.078,0.001
Wonosobo,0,1.253,0.014,0.02,0.045,0.088,0.003
Magelang,0,1.271,0.005,0.014,0.012,0.1,0.001
Boyolali,0,1.187,0.002,0.005,0.002,0.072,0.005
Klaten,0,1.304,0.002,0.006,0.001,0.074,0.001
Sukoharjo,0,1.213,0.007,0.011,0,0.072,0.002
Wonogiri,0,1.409,0.006,0.011,0.007,0.07,0.004
Karanganyar,0,1.299,0.004,0.005,0.004,0.081,0.001
Sragen,0,1.469,0.004,0.014,0.007,0.071,0.002
Grobogan,0,1.512,0.01,0.022,0.002,0.096,0.003
Blora,0,1.521,0.011,0.024,0.013,0.038,0.005
Rembang,0,1.54,0.022,0.017,0.021,0.045,0.002
Pati,0,1.481,0.002,0.017,0.001,0.062,0.011
Kudus,0,1.273,0.001,0.012,0.001,0.048,0.005
Jepara,0,1.393,0,0.01,0,0.054,0.003
Demak,0,1.399,0.002,0.019,0.001,0.041,0
Semarang,0,1.262,0.007,0.006,0.002,0.087,0.001
Temanggung,0,1.358,0.012,0.011,0.021,0.072,0.001
Kendal,0,1.418,0.004,0.015,0.008,0.069,0
Batang,0,1.436,0.002,0.005,0.016,0.051,0.002
Pekalongan,0,1.399,0.01,0.004,0.006,0.049,0.007
Pemalang,0,1.39,0.016,0.014,0.023,0.056,0.013
Tegal,0,1.374,0.001,0.007,0.002,0.045,0.002
Brebes,0,1.54,0.008,0.008,0.001,0.046,0.001
Kota Magelang,0,1.079,0,0.024,0.001,0.059,0.001
Kota Surakarta,0,1.168,0.003,0.011,0.001,0.042,0
Kota Salatiga,0,1.094,0,0.036,0.001,0.057,0.003
Kota Semarang,0,1.183,0.001,0.021,0.001,0.038,0.002
Kota Pekalongan,0,1.256,0.001,0.007,0.001,0.024,0.001
Kota Tegal,0,1.132,0.003,0.02,0.002,0.035,0.001
Kulon Progo,0,1.343,0.005,0.02,0.002,0.08,0.002
Bantul,0,1.163,0.012,0.017,0.002,0.057,0.003
Gunung Kidul,0,1.554,0.006,0.003,0.013,0.065,0.003
Sleman,0,1.115,0.005,0.039,0.003,0.081,0.003
Kota Yogyakarta,0,1.054,0.001,0.032,0.003,0.038,0.001
Pacitan,0,1.543,0.006,0.015,0.001,0.059,-
Ponorogo,0,1.39,0.003,0.035,0.004,0.069,0.014
Trenggalek,0,1.561,0.018,0.024,0.002,0.026,0.01
Tulungagung,0,1.407,0.003,0.028,0.002,0.029,0.004
Blitar,0,1.25,0.004,0.036,0.013,0.024,0.007
Kediri,0,1.456,0.009,0.048,0.028,0.038,0.004
Malang,0,1.377,0.01,0.064,0.047,0.053,0.006
Lumajang,0,1.693,0.012,0.107,0.084,0.066,0.002
Jember,0,1.66,0.004,0.132,0.051,0.057,0.002
Banyuwangi,0,1.653,0.003,0.125,0.012,0.031,0.002
Bondowoso,0,1.54,0.003,0.105,0.066,0.057,0.002
Situbondo,0,1.646,0.002,0.079,0.06,0.029,0.001
Probolinggo,0,1.693,0.004,0.052,0.121,0.032,0.002
Pasuruan,0,1.508,0.006,0.07,0.057,0.047,0.001
Sidoarjo,0,1.248,0.003,0.063,0.003,0.034,0.001
Mojokerto,0,1.454,0.004,0.135,0.012,0.05,0.003
Jombang,0,1.314,0.004,0.073,0.011,0.033,0.004
Nganjuk,0,1.506,0.005,0.055,0.011,0.049,0.002
Madiun,0,1.44,0.018,0.045,0.004,0.063,0.004
Magetan,0,1.408,0.001,0.026,0.001,0.058,0.003
Ngawi,0,1.576,0.001,0.02,0.003,0.065,0.001
Bojonegoro,0,1.726,0.001,0.069,0.009,0.065,0.027
Tuban,0,1.588,0.017,0.063,0.033,0.055,0.007
Lamongan,0,1.66,0.006,0.056,0.026,0.059,0.003
Gresik,0,1.249,0.002,0.058,0.004,0.054,0.003
Bangkalan,0,1.738,0.006,0.022,0.097,0.035,0.001
Sampang,0,1.904,0,0.006,0.131,0.008,-
Pamekasan,0,1.473,0.002,0.013,0.169,0.029,0
Sumenep,0,1.589,0.014,0.032,0.315,0.059,0.001
Kota Kediri,0,1.248,0,0.057,0.004,0.025,0.001
Kota Blitar,0,1.123,0.002,0.037,0.007,0.021,0.002
Kota Malang,0,1.173,0.004,0.046,0.012,0.046,0.004
Kota Probolinggo,0,1.488,0.001,0.048,0.036,0.018,0.013
Kota Pasuruan,0,1.311,0.001,0.054,0.006,0.04,0.001
Kota Mojokerto,0,1.243,0.002,0.074,0.002,0.028,0.002
Kota Madiun,0,1.169,0.002,0.035,0.004,0.038,0
Kota Surabaya,0,1.255,0.001,0.066,0.004,0.037,0.002
Kota Batu,0,1.204,0.004,0.036,0.015,0.064,0
Pandeglang,0,2.133,0.007,0.016,0.001,0.055,0
Lebak,0,1.974,0.023,0.026,0.002,0.116,0
Tangerang,0,1.541,0.005,0.03,0.003,0.061,0
Serang,0,1.656,0.017,0.033,0.001,0.076,0
Kota Tangerang,0,1.461,0.006,0.046,0.004,0.061,0
Kota Cilegon,0,1.297,0.005,0.044,0.001,0.049,0.001
Kota Serang,0,1.531,0.006,0.034,0.005,0.06,0.001
Kota Tangerang Selatan,0,1.302,0.009,0.036,0.001,0.06,0.001
Jembrana,0,1.963,0.002,0.049,0.005,0.01,0
Tabanan,0,1.878,0.002,0.028,0.001,0.008,0.001
Badung,0,1.651,0.002,0.061,0.002,0.015,-
Gianyar,0,1.925,0.001,0.025,0.002,0.001,0
Klungkung,0,2.072,0.014,0.059,0.092,0.003,0
Bangli,0,1.95,0.001,0.037,0.003,0.01,0.002
Karangasem,0,2.112,0.004,0.019,0.009,0.004,0
Buleleng,0,2.033,0.002,0.062,0.037,0.008,0.001
Kota Denpasar,0,1.534,0.002,0.082,0.003,0.014,0.001
Lombok Barat,0,1.778,0.004,0.125,0.007,0.015,0.001
Lombok Tengah,0,1.826,0.012,0.099,0.004,0.025,0.002
